"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"cholecalciferol mus musculus gpl6246 gse41184 chdir down","1/23",0.00802338980417862,1,0,0,124.223602484472,599.427860565569,"CYBRD1"
"pioglitazone rattus norvegicus gpl341 skeletal muscle gds3850 chdir up","1/65",0.0225325710338772,1,0,0,43.956043956044,166.716194067301,"FHL3"
"troglitazone rattus norvegicus gpl341 skeletal muscle gds3850 chdir up","1/79",0.0273283691119178,1,0,0,36.1663652802893,130.192765089952,"FHL3"
"doxorubicin homo sapiens gpl570 gse23399 chdir up","1/84",0.0290362597234849,1,0,0,34.0136054421769,120.381288936098,"COL8A1"
"oxandrolone homo sapiens gpl97 gds1334 chdir down","1/93",0.0321039863714837,1,0,0,30.7219662058372,105.64593150627,"CYBRD1"
"imatinib homo sapiens gpl96 gds3045 chdir up","4/4070",0.0353639738103178,1,0,0,2.80800280800281,9.38451854268448,"C1ORF216;CALHM2;EVA1B;FHL3"
"quetiapine mus musculus gpl1261 gse45229 chdir up","1/105",0.0361813636837844,1,0,0,27.2108843537415,90.3186696075758,"CALHM2"
"docetaxel homo sapiens gpl570 gse33455 chdir down","1/113",0.0388914287807867,1,0,0,25.2844500632111,82.0981388738725,"CYBRD1"
"fluoxetine sus scrofa gpl3533 gse21663 chdir up","1/122",0.0419324426545519,1,0,0,23.4192037470726,74.2785822941917,"COL8A1"
"estradiol mus musculus gpl7509 gse14774 chdir down","1/137",0.0469824732592036,1,0,0,20.8550573514077,63.7743619645196,"C1ORF216"
