"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 BT20 3H-WYE-125132-0.12","1/24",0.00479166001182121,0.0378166400094538,0,0,289.463768115942,1545.99077797272,"TKTL1"
"LJP006 BT20 3H-A443654-0.04","1/29",0.00578775644643188,0.0378166400094538,0,0,237.714285714286,1224.70650792205,"TKTL1"
"LJP008 A549 24H-(+)-JQ1-0.12","1/30",0.00598688605352586,0.0378166400094538,0,0,229.505747126437,1174.65261061322,"TKTL1"
"LJP008 HCC515 24H-rocilinostat-1.11","1/30",0.00598688605352586,0.0378166400094538,0,0,229.505747126437,1174.65261061322,"TKTL1"
"LJP005 MCF10A 3H-PD-0325901-0.04","1/32",0.00638505560259709,0.0378166400094538,0,0,214.677419354839,1084.93568598441,"TKTL1"
"LJP008 HCC515 24H-iniparib-10","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"LJP006 MCF7 3H-PD-0325901-1.11","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"LJP008 HT29 24H-GSK-1070916-3.33","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"LJP006 MCF10A 3H-BMS-387032-0.37","1/38",0.00757884707428762,0.0378166400094538,0,0,179.810810810811,877.907258346024,"TKTL1"
"LJP006 SKBR3 3H-mitoxantrone-3.33","1/39",0.00777770775431615,0.0378166400094538,0,0,175.070175438596,850.22718960169,"TKTL1"
"LJP008 HEPG2 24H-PFI-1-3.33","1/41",0.00817533951037825,0.0378166400094538,0,0,166.3,799.343073344609,"OLIG2"
"LJP006 LNCAP 3H-torin-1-1.11","1/41",0.00817533951037825,0.0378166400094538,0,0,166.3,799.343073344609,"TKTL1"
"LJP007 HEPG2 24H-dinaciclib-0.04","1/43",0.00857285180785703,0.0378166400094538,0,0,158.365079365079,753.683933210775,"TKTL1"
"LJP006 HEPG2 24H-GDC-0941-1.11","1/44",0.00877156316519393,0.0378166400094538,0,0,154.674418604651,732.575206798786,"TKTL1"
"LJP005 HCC515 24H-PF-477736-0.12","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"LJP005 MCF10A 3H-mitoxantrone-3.33","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"LJP007 MCF7 24H-everolimus-1.11","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"LJP008 HCC515 24H-LY2603618-10","1/51",0.010161706815005,0.0378166400094538,0,0,132.973333333333,610.231761256463,"TKTL1"
"LJP007 HEPG2 24H-dinaciclib-1.11","1/53",0.0105586221262761,0.0378166400094538,0,0,127.846153846154,581.80387368109,"TKTL1"
"LJP006 MDAMB231 24H-QL-X-138-10","1/54",0.0107570350302104,0.0378166400094538,0,0,125.427672955975,568.462711997524,"TKTL1"
"CPC009 MCF7 6H-BRD-K37150847-10.0","1/55",0.0109554181035787,0.0378166400094538,0,0,123.098765432099,555.658119729102,"MECP2"
"LJP006 A549 24H-AS-605240-1.11","1/57",0.0113520947683085,0.0378166400094538,0,0,118.690476190476,531.537849050783,"TKTL1"
"LJP008 HCC515 24H-pracinostat-0.04","1/57",0.0113520947683085,0.0378166400094538,0,0,118.690476190476,531.537849050783,"TKTL1"
"LJP009 HA1E 24H-BI-2536-10","1/59",0.0117486521426567,0.0378166400094538,0,0,114.586206896552,509.223023481694,"TKTL1"
"LJP006 SKBR3 3H-mitoxantrone-10","1/59",0.0117486521426567,0.0378166400094538,0,0,114.586206896552,509.223023481694,"TKTL1"
"LJP005 MCF7 3H-crizotinib-3.33","1/60",0.0119468861025563,0.0378166400094538,0,0,112.638418079096,498.682335053748,"TKTL1"
"LJP008 HT29 24H-mitoxantrone-10","1/61",0.0121450902474313,0.0378166400094538,0,0,110.755555555556,488.523958756801,"TKTL1"
"LJP008 HEPG2 24H-belinostat-0.12","1/67",0.0133336891739785,0.0378166400094538,0,0,100.656565656566,434.58083948016,"TKTL1"
"LJP007 HEPG2 24H-dinaciclib-10","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"LJP006 HME1 3H-WYE-125132-0.04","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"LJP006 SKBR3 3H-JW-7-24-1-1.11","1/68",0.0135316846971434,0.0378166400094538,0,0,99.1492537313433,426.611608771532,"TKTL1"
"LJP007 HEPG2 24H-DCC-2036-10","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"LJP005 SKBR3 3H-TG-101348-10","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"LJP005 MCF7 24H-NU-7441-10","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"TKTL1"
"CPC006 RMGI 6H-pp-110-22.2","1/70",0.013927586368182,0.0378166400094538,0,0,96.2657004830918,411.428415366268,"MECP2"
"LJP006 MCF7 24H-mitoxantrone-0.12","1/71",0.0141254925238032,0.0378166400094538,0,0,94.8857142857143,404.191711363937,"TKTL1"
"LJP005 PC3 24H-mitoxantrone-1.11","1/71",0.0141254925238032,0.0378166400094538,0,0,94.8857142857143,404.191711363937,"TKTL1"
"LJP006 SKBR3 24H-ZSTK-474-0.37","1/74",0.0147190322987359,0.0378166400094538,0,0,90.972602739726,383.778287202741,"TKTL1"
"LJP007 HEPG2 24H-CGP-60474-0.37","1/75",0.0149168193344818,0.0378166400094538,0,0,89.7387387387387,377.375256874202,"TKTL1"
"LJP005 A549 24H-PD-184352-1.11","1/76",0.0151145765997521,0.0378166400094538,0,0,88.5377777777778,371.158834239914,"TKTL1"
"LJP006 SKBR3 3H-XMD11-85H-10","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"LJP006 HEPG2 24H-PHA-793887-10","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"LJP005 HS578T 24H-NVP-BEZ235-0.04","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"LJP008 MCF7 24H-GSK-1059615-3.33","1/78",0.0155100018241852,0.0378166400094538,0,0,86.2294372294372,359.255133327643,"TKTL1"
"CPC019 HA1E 6H-BRD-K96076993-10.0","1/79",0.015707669790035,0.0378166400094538,0,0,85.1196581196581,353.553536665299,"MECP2"
"LJP006 MCF7 24H-AZD-8055-0.37","1/79",0.015707669790035,0.0378166400094538,0,0,85.1196581196581,353.553536665299,"TKTL1"
