"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CPC006 SKM1 6H-bay 11-7821-10.0","2/103",0.000923527819954645,0.0704592483372694,0,0,56.2659123055163,393.147351135101,"F5;LILRA5"
"LJP005 BT20 3H-pelitinib-0.37","1/15",0.00673104649386944,0.0704592483372694,0,0,178.366071428571,892.013120036697,"MGAM"
"CPC011 VCAP 6H-cytarabine-10.0","1/18",0.00807241931005015,0.0704592483372694,0,0,146.867647058824,707.799552701989,"FPR2"
"CPC012 HT29 6H-BRD-K12168891-10.0","1/24",0.0107503374648081,0.0704592483372694,0,0,108.521739130435,491.909306936249,"LILRA5"
"CPC003 PC3 24H-cefixime-10.0","1/26",0.0116415481869312,0.0704592483372694,0,0,99.83,444.560444254561,"LILRA5"
"LJP009 HA1E 24H-rondual-kinase-inhibitor-3.33","1/27",0.0120868859385031,0.0704592483372694,0,0,95.9855769230769,423.837198170331,"F5"
"LJP005 HA1E 24H-SB590885-1.11","1/27",0.0120868859385031,0.0704592483372694,0,0,95.9855769230769,423.837198170331,"F5"
"CPC014 SKB 24H-gr-239-10.0","1/28",0.0125320453634479,0.0704592483372694,0,0,92.4259259259259,404.776226553209,"FPR2"
"LJP006 LNCAP 24H-MK-2206-1.11","1/32",0.0143109010156188,0.0704592483372694,0,0,80.4838709677419,341.793569023776,"F5"
"CPC013 MCF7 24H-BRD-K77987635-10.0","1/33",0.0147551697178424,0.0704592483372694,0,0,77.96484375,328.712393486967,"FPR2"
"LJP006 HME1 3H-KIN001-043-1.11","1/34",0.0151992604555412,0.0704592483372694,0,0,75.5984848484848,316.493699900796,"F5"
"LJP009 MCF7 24H-KIN001-055-0.37","1/35",0.0156431732908392,0.0704592483372694,0,0,73.3713235294118,305.057468321641,"F5"
"LJP006 HME1 3H-KIN001-043-0.37","1/35",0.0156431732908392,0.0704592483372694,0,0,73.3713235294118,305.057468321641,"F5"
