"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CPC006 SKM1 6H-BRD-K17140735-11.1","2/66",0.000222837238839505,0.05637284136456,0,0,124.55625,1047.40209112316,"APOC2;C2"
"CPC007 VCAP 6H-BRD-K60870698-10.0","2/70",0.000250719498984362,0.05637284136456,0,0,117.205882352941,971.774572764675,"APOC2;C2"
"CPC006 H1299 6H-7b-cis-10.0","2/76",0.000295584396770213,0.05637284136456,0,0,107.67027027027,874.988497599987,"APOC2;C2"
"CPC014 HT29 6H-hy-70044-10.0","2/82",0.000344089241095118,0.05637284136456,0,0,99.565,793.991996106761,"APOC2;C2"
"CPC003 HA1E 6H-way 170523-10.0","2/82",0.000344089241095118,0.05637284136456,0,0,99.565,793.991996106761,"APOC2;C2"
"CPC006 PC3 24H-auranofin-10.0","2/83",0.000352526487414988,0.05637284136456,0,0,98.3308641975309,781.768207785248,"APOC2;C2"
"CPC004 HA1E 6H-BRD-K87343924 (wortmannin)-10.0","2/86",0.00037844252536808,0.05637284136456,0,0,94.8047619047619,747.009034683811,"APOC2;C2"
"CPC002 HA1E 6H-pp 2-10.0","2/91",0.000423647181054536,0.05637284136456,0,0,89.4561797752809,694.771221874901,"APOC2;C2"
"CPC006 A549 6H-BRD-K43620258-80.0","2/106",0.000574286834965629,0.05637284136456,0,0,76.4961538461538,570.843488941552,"APOC2;C2"
"CPC010 PC3 24H-BRD-K53423944-10.0","2/106",0.000574286834965629,0.05637284136456,0,0,76.4961538461538,570.843488941552,"APOC2;C2"
"CPC014 HT29 6H-BRD-K05104363-10.0","2/128",0.000835704547741178,0.05637284136456,0,0,63.0698412698413,446.990812926973,"APOC2;C2"
"CPC009 MCF7 24H-acyclovir-10.0","2/132",0.000888370813768772,0.05637284136456,0,0,61.1169230769231,429.414916186285,"APOC2;C2"
"CPC014 HA1E 6H-ei-156-10.0","2/141",0.0010126131541056,0.05637284136456,0,0,57.1338129496403,393.950267322451,"APOC2;C2"
"CPC006 A375 6H-necrostatin-1-160.0","1/3",0.0010496614322995,0.05637284136456,0,0,1665.91666666667,11427.0015546883,"C2"
"CPC016 HT29 6H-nnc 55-0396 dihydrochloride-10.0","1/3",0.0010496614322995,0.05637284136456,0,0,1665.91666666667,11427.0015546883,"C2"
"CPC009 MCF7 24H-glycopyrrolate-10.0","2/144",0.00105578957979095,0.05637284136456,0,0,55.9183098591549,383.234256372974,"APOC2;C2"
"CPC015 HT29 6H-epirubicin hydrochloride-10.0","2/150",0.00114477774720711,0.05637284136456,0,0,53.6351351351351,363.246353843644,"APOC2;C2"
"CPC014 HT29 6H-p8624-10.0","2/156",0.00123727062735003,0.05637284136456,0,0,51.5298701298701,344.984618727646,"APOC2;C2"
