"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","LJP005 MDAMB231 24H-GDC-0980-0.04-dn","1/12",0.00239797880116383,0.0218030671371652,0,0,605.606060606061,3653.69952474798,"TKTL1"
"2","LJP006 LNCAP 3H-radicicol-0.12-dn","1/15",0.00299680275873185,0.0218030671371652,0,0,475.761904761905,2764.27624635263,"TKTL1"
"3","LJP005 BT20 3H-withaferin-a-1.11-dn","1/17",0.00339586923953755,0.0218030671371652,0,0,416.25,2366.46263334062,"TKTL1"
"4","LJP006 HS578T 3H-geldanamycin-10-dn","1/23",0.00459235103352132,0.0218030671371652,0,0,302.636363636364,1629.20145641595,"TKTL1"
"5","LJP006 LNCAP 3H-geldanamycin-10-dn","1/25",0.00499093909080392,0.0218030671371652,0,0,277.388888888889,1470.1975024183,"TKTL1"
"6","LJP008 HCC515 24H-KU-60019-3.33-dn","1/28",0.00558859694869862,0.0218030671371652,0,0,246.530864197531,1278.76225296813,"TKTL1"
"7","LJP005 MDAMB231 3H-NVP-AUY922-0.37-dn","1/29",0.00578775644643188,0.0218030671371652,0,0,237.714285714286,1224.70650792205,"TKTL1"
"8","LJP005 MDAMB231 3H-CYT387-3.33-dn","1/32",0.00638505560259709,0.0218030671371652,0,0,214.677419354839,1084.93568598441,"TKTL1"
"9","LJP005 HEPG2 24H-AZD-8330-0.12-dn","1/32",0.00638505560259709,0.0218030671371652,0,0,214.677419354839,1084.93568598441,"TKTL1"
"10","LJP005 HS578T 3H-radicicol-3.33-dn","1/32",0.00638505560259709,0.0218030671371652,0,0,214.677419354839,1084.93568598441,"TKTL1"
"11","LJP005 HT29 24H-radicicol-10-dn","1/35",0.006982085791858,0.0218030671371652,0,0,195.705882352941,971.563766351202,"TKTL1"
"12","LJP009 PC3 24H-dabrafenib-1.11-dn","1/35",0.006982085791858,0.0218030671371652,0,0,195.705882352941,971.563766351202,"TKTL1"
"13","LJP006 HS578T 3H-BMS-345541-1.11-dn","1/37",0.00737995652232019,0.0218030671371652,0,0,184.814814814815,907.253621594129,"TKTL1"
"14","LJP006 PC3 24H-JW-7-24-1-3.33-dn","1/38",0.00757884707428762,0.0218030671371652,0,0,179.810810810811,877.907258346024,"TKTL1"
"15","LJP005 MDAMB231 3H-XMD16-144-1.11-dn","1/38",0.00757884707428762,0.0218030671371652,0,0,179.810810810811,877.907258346024,"TKTL1"
"16","LJP005 HS578T 3H-geldanamycin-10-dn","1/40",0.00797653856531228,0.0218030671371652,0,0,170.57264957265,824.079236975882,"TKTL1"
"17","LJP005 MCF10A 24H-WH-4-025-1.11-dn","1/42",0.008374110589681,0.0218030671371652,0,0,162.235772357724,775.91049296681,"TKTL1"
"18","LJP006 MDAMB231 24H-geldanamycin-0.04-dn","1/42",0.008374110589681,0.0218030671371652,0,0,162.235772357724,775.91049296681,"TKTL1"
"19","LJP007 HCC515 24H-motesanib-10-dn","1/43",0.00857285180785703,0.0218030671371652,0,0,158.365079365079,753.683933210775,"TKTL1"
"20","LJP009 A375 24H-chelerythrine chloride-1.11-dn","1/45",0.00897024466577941,0.0218030671371652,0,0,151.151515151515,712.504409953232,"TKTL1"
"21","LJP008 MCF7 24H-dasatinib-0.12-dn","1/45",0.00897024466577941,0.0218030671371652,0,0,151.151515151515,712.504409953232,"TKTL1"
"22","LJP005 HA1E 24H-pelitinib-0.12-dn","1/46",0.0091688963119721,0.0218030671371652,0,0,147.785185185185,693.3989791915,"TKTL1"
"23","LJP009 HA1E 24H-RAF 265-0.37-dn","1/47",0.00936751810595902,0.0218030671371652,0,0,144.565217391304,675.192873436754,"TKTL1"
"24","CPC010 HCC515 6H-BRD-K65955264-10.0-dn","1/47",0.00936751810595902,0.0218030671371652,0,0,144.565217391304,675.192873436754,"MECP2"
"25","CPC006 SKLU1 6H-(-)-gallocatechin gallate-88.8-dn","1/48",0.00956611005122314,0.0218030671371652,0,0,141.482269503546,657.825862605875,"MECP2"
"26","LJP005 MCF7 3H-PLX-4720-10-dn","1/51",0.010161706815005,0.0218030671371652,0,0,132.973333333333,610.231761256463,"TKTL1"
"27","LJP009 HT29 24H-RAF 265-3.33-dn","1/51",0.010161706815005,0.0218030671371652,0,0,132.973333333333,610.231761256463,"TKTL1"
"28","LJP009 PC3 24H-olaparib-0.04-dn","1/52",0.0103601793891912,0.0218030671371652,0,0,130.359477124183,595.714877907605,"TKTL1"
"29","LJP006 HME1 3H-PF-562271-0.37-dn","1/52",0.0103601793891912,0.0218030671371652,0,0,130.359477124183,595.714877907605,"TKTL1"
"30","LJP005 MDAMB231 3H-geldanamycin-0.37-dn","1/52",0.0103601793891912,0.0218030671371652,0,0,130.359477124183,595.714877907605,"TKTL1"
"31","CPC013 HCC515 6H-BRD-K16057611-10.0-dn","1/53",0.0105586221262761,0.0218030671371652,0,0,127.846153846154,581.80387368109,"MECP2"
"32","CPC013 HCC515 6H-BRD-K75418381-10.0-dn","1/54",0.0107570350302104,0.0218030671371652,0,0,125.427672955975,568.462711997524,"MECP2"
"33","LJP006 HME1 3H-HG-5-88-01-3.33-dn","1/54",0.0107570350302104,0.0218030671371652,0,0,125.427672955975,568.462711997524,"TKTL1"
"34","LJP006 SKBR3 3H-PI-103-0.04-dn","1/55",0.0109554181035787,0.0218030671371652,0,0,123.098765432099,555.658119729102,"TKTL1"
"35","LJP006 HA1E 24H-PI-103-0.04-dn","1/56",0.0111537713495647,0.0218030671371652,0,0,120.854545454545,543.359329298722,"TKTL1"
"36","CPC006 SW480 6H-chemistry 2804-10.0-dn","1/56",0.0111537713495647,0.0218030671371652,0,0,120.854545454545,543.359329298722,"MECP2"
"37","LJP006 HME1 3H-radicicol-0.37-dn","1/57",0.0113520947683085,0.0218030671371652,0,0,118.690476190476,531.537849050783,"TKTL1"
"38","LJP005 MCF7 3H-NVP-AUY922-0.12-dn","1/59",0.0117486521426567,0.0218030671371652,0,0,114.586206896552,509.223023481694,"TKTL1"
"39","LJP005 BT20 24H-radicicol-3.33-dn","1/60",0.0119468861025563,0.0218030671371652,0,0,112.638418079096,498.682335053748,"TKTL1"
"40","CPC006 SW480 6H-dl-pdmp-64.0-dn","1/60",0.0119468861025563,0.0218030671371652,0,0,112.638418079096,498.682335053748,"MECP2"
"41","CPC013 HCC515 6H-BRD-K96167523-10.0-dn","1/64",0.0127395238270763,0.0219638473996242,0,0,105.465608465608,460.151301759579,"MECP2"
"42","LJP005 PC3 24H-PIK-93-10-dn","1/65",0.0129376087422444,0.0219638473996242,0,0,103.8125,451.336969340077,"TKTL1"
"43","CPC006 SW480 6H-BRD-K92317137-10.0-dn","1/65",0.0129376087422444,0.0219638473996242,0,0,103.8125,451.336969340077,"MECP2"
"44","LJP005 BT20 24H-geldanamycin-1.11-dn","1/67",0.0133336891739785,0.0221218024931916,0,0,100.656565656566,434.58083948016,"TKTL1"
"45","CPC005 A549 24H-triamcinolone-10.0-dn","1/70",0.013927586368182,0.0225936401083841,0,0,96.2657004830918,411.428415366268,"MECP2"
"46","LJP005 BT20 24H-geldanamycin-3.33-dn","1/73",0.0145212154854246,0.0226859960711911,0,0,92.2407407407407,390.376149318164,"TKTL1"
